Employee ID,Year,Quarter,Current Employee Rating,Employee_Name
56,2024,Q4,1.85,Cristal Bolton
57,2025,Q2,2.26,Jaslene Harding
58,2023,Q4,2.98,Albert Gonzalez
59,2023,Q3,3.41,Jaiden Johnson
60,2026,Q4,3.42,Brendon Mcconnell
61,2024,Q2,2.73,Kimora Parsons
62,2023,Q4,3.35,Willie Patterson
63,2025,Q2,4.08,Devyn Powers
64,2022,Q1,2.32,Weston Preston
65,2025,Q1,3.64,Lennon Buchanan
66,2023,Q4,1.38,Vicente Merritt
67,2024,Q3,3.04,Hugo Clay
68,2022,Q1,4.21,Cohen Raymond
69,2024,Q3,1.56,Tia Ellis
70,2024,Q2,4.5,Aspen Bentley
71,2024,Q4,2.52,Graham Rodriguez
72,2023,Q1,4.17,Joel Mcmillan
73,2024,Q4,4.29,Maci Frost
74,2024,Q4,4.83,Nevaeh Lucas
75,2025,Q1,1.22,Garrett Zimmerman
76,2023,Q3,3.4,Eugene Marks
77,2023,Q4,3.28,Geovanni Pugh
78,2025,Q4,3.69,Javon Kelley
79,2022,Q4,3.54,Amaya Hicks
80,2023,Q4,4.58,Laila Woodard
81,2024,Q2,4.69,Ivan Huff
82,2023,Q1,4.3,Aidan Harding
83,2026,Q1,4.35,Cruz Boyer
84,2022,Q2,2.04,Raven Koch
85,2025,Q1,1.31,Karli Barker
86,2023,Q4,3.1,Tyrone Sosa
87,2025,Q1,1.5,Damaris Cisneros
88,2026,Q2,3.95,Alexus Estes
89,2025,Q3,3.06,Kinsley Flowers
90,2023,Q4,2.32,Deborah Love
91,2026,Q2,4.34,Milagros Francis
92,2025,Q3,4.0,Roberto Michael
93,2022,Q2,3.56,Elaine Ewing
94,2022,Q4,2.68,Caiden Munoz
95,2026,Q2,3.7,Jocelyn Bradford
96,2023,Q1,1.63,Marques Armstrong
97,2022,Q3,3.94,Rohan Chapman
98,2026,Q1,4.25,Emmanuel Franklin
99,2026,Q1,3.73,Clayton Mccormick
100,2022,Q1,1.73,Darius Krause
101,2025,Q3,2.13,Ahmed Hawkins
102,2022,Q2,2.67,Kymani Benjamin
103,2022,Q4,2.32,Callum Mcdaniel
104,2026,Q2,3.77,Zariah Black
105,2022,Q2,4.77,Ronnie Mayer
106,2026,Q2,3.26,Marlon Ford
107,2022,Q2,1.01,Slade Griffith
108,2025,Q2,1.27,Lee Frye
109,2022,Q3,3.02,Veronica Rowe
110,2025,Q3,2.49,Aylin Berg
111,2022,Q3,1.21,Neveah Rowe
112,2025,Q2,1.65,Keith Baxter
113,2022,Q3,1.68,Chaz Bruce
114,2024,Q1,3.17,Maya Mccann
115,2026,Q2,1.7,Aaron Weber
116,2023,Q1,1.73,Ellie Gill
117,2025,Q3,3.79,Rayne Kerr
118,2023,Q3,4.64,Samara Mcbride
119,2024,Q2,3.92,Ryann Rubio
120,2025,Q2,4.55,Paris Carr
121,2023,Q4,2.87,Adriel Wiggins
122,2024,Q3,1.53,Sanaa Glass
123,2025,Q4,4.07,Ryan Lynch
124,2026,Q4,4.71,Charlie Atkinson
125,2023,Q4,2.85,Emery Roach
126,2022,Q2,2.71,Harper Ramos
127,2023,Q1,4.13,Khalil Mendez
128,2025,Q4,4.79,Lizeth Holland
129,2026,Q2,2.66,Matilda Randall
130,2025,Q2,3.84,Damien Howe
131,2026,Q3,2.72,Nicholas Obrien
132,2024,Q2,4.17,Mildred Gentry
133,2025,Q3,3.68,Wilson K Adinolfi
134,2025,Q2,1.99,Joanne Handschiegl
135,2024,Q2,1.48,Dianna Blount
136,2024,Q3,2.0,Jean Crimmings
137,2022,Q2,1.7,Nore Sadki
138,2025,Q4,3.34,Susan Lundy
139,2023,Q2,3.26,Kramer Keatts
140,2025,Q2,3.19,Maliki Moumanil
141,2026,Q2,2.84,Nader Barton
142,2022,Q3,1.92,Quinn Rarrick
143,2022,Q4,3.51,Beatrice Chace
144,2026,Q4,2.67,Adrienne J Homberger
145,2023,Q2,4.02,Marilyn Linares
146,2023,Q3,1.09,Timothy Sullivan
147,2024,Q1,4.81,Jennifer Medeiros
148,2026,Q1,4.84,Anna Von Massenbach
149,2024,Q4,3.14,George Johnson
150,2026,Q1,3.55,Angela Erilus
151,2022,Q1,3.19,Miguel Estremera
152,2022,Q2,2.45,Clinton Owad
153,2023,Q2,4.83,Constance Sloan
154,2023,Q2,4.32,Davion Sanchez
155,2023,Q4,2.34,Ross Strickland
156,2026,Q1,4.22,Augustus Drake
157,2024,Q2,4.92,Gracelyn Huynh
158,2025,Q1,3.02,Orlando Armstrong
159,2026,Q2,1.49,Edward Everett
160,2024,Q4,3.99,Jaqueline Terrell
161,2025,Q3,1.01,Quinn Mccullough
162,2024,Q1,2.99,Selena Greer
163,2025,Q2,3.46,Giovani Roy
164,2024,Q2,2.33,Dominik Mullen
165,2025,Q3,2.87,Abdullah Ellison
166,2026,Q1,4.28,Andre Guzman
167,2022,Q2,4.65,Brayden Malone
168,2026,Q4,3.86,Maribel Morrison
169,2023,Q4,3.2,Fisher Stafford
170,2026,Q4,4.8,Kellen Medina
171,2022,Q3,1.85,Brenton Monroe
172,2024,Q4,3.99,Derick Rocha
173,2026,Q1,1.73,Elaine Weeks
174,2024,Q2,1.09,Marely Dixon
175,2023,Q1,3.62,Keagan Henson
176,2023,Q1,1.67,Helena Davenport
177,2024,Q4,1.48,Houston Aguirre
178,2026,Q2,4.16,Kane Owen
179,2025,Q4,3.04,Emerson Pitts
180,2022,Q1,3.7,Clarissa Winters
181,2022,Q4,4.08,Frankie Atkins
182,2025,Q1,2.77,Ally Zhang
183,2022,Q3,1.59,Kayleigh Harmon
184,2024,Q2,2.76,Kayley Myers
185,2022,Q4,3.54,Rowan Cobb
186,2022,Q3,1.48,Edward Mann
187,2025,Q2,1.02,Amirah Johnson
188,2024,Q3,2.51,Bridget Deleon
189,2023,Q1,1.48,Martin Weber
190,2022,Q3,4.91,Ruben Lewis
191,2023,Q4,2.59,Bailey Collier
192,2022,Q2,1.25,Charlee Roth
193,2023,Q4,2.46,Karissa Bowers
194,2026,Q2,2.77,Noel Ramirez
195,2023,Q3,1.23,Victoria Franco
196,2022,Q2,1.78,Danika Fleming
197,2025,Q1,4.76,Jocelyn Kline
198,2026,Q2,2.22,Cesar Higgins
199,2022,Q1,2.05,Gabriel Dodson
200,2026,Q4,3.67,Raphael Sandoval
201,2025,Q1,4.98,Ruth Harrell
202,2023,Q1,2.68,Peyton Barber
203,2023,Q2,4.26,Reginald Lowery
204,2022,Q1,1.05,Stephanie Briggs
205,2024,Q4,4.79,Shaniya Becker
206,2026,Q3,2.72,Ryan Oconnell
207,2022,Q1,4.22,Emma Ware
208,2026,Q3,4.92,Keyon Haley
209,2023,Q1,3.33,Kylee Bates
210,2026,Q2,1.76,Marc Chandler
211,2022,Q3,4.95,Abdullah Pruitt
212,2025,Q1,3.88,Shamar Roth
213,2022,Q3,1.38,Jaylen Acosta
214,2025,Q3,2.14,Kale House
215,2025,Q4,1.75,Kiersten Ellis
216,2023,Q3,1.7,Karissa Carrillo
217,2022,Q2,2.65,Issac Whitehead
218,2022,Q1,2.41,Madisyn Andrews
219,2026,Q4,3.98,Madyson Rhodes
220,2026,Q4,4.62,Brenton Rodriguez
221,2025,Q1,2.09,Nathen Arias
222,2023,Q4,1.47,Keyon Hensley
223,2022,Q3,1.39,Elisha Ruiz
224,2025,Q1,2.16,Amirah Stanley
225,2022,Q1,1.3,Jeremy Meyer
226,2022,Q2,4.95,Owen Dillon
227,2022,Q3,1.17,Bridget Bray
228,2024,Q1,1.19,Cassius Gates
229,2025,Q1,1.46,Martha Kemp
230,2022,Q4,1.19,Francesca Mcmahon
231,2023,Q4,3.38,Lorelei Walls
232,2024,Q3,3.89,Emery Gillespie
233,2024,Q2,4.59,Kaylee Baldwin
234,2023,Q3,2.03,Aron Hester
235,2022,Q2,2.28,Reagan Brennan
236,2024,Q2,2.95,Hugh Berry
237,2026,Q3,4.4,Brandon Anderson
238,2026,Q2,1.55,Diana Garza
239,2025,Q4,4.36,Dalton Bowen
240,2023,Q4,1.75,Davin Peters
241,2023,Q1,4.27,Leyla Warren
242,2026,Q1,4.83,Victoria Allen
243,2026,Q3,2.23,Tyler Hines
244,2026,Q3,4.1,Sandra Atkinson
245,2025,Q2,3.26,Simone Hayes
246,2026,Q3,4.19,Rhett Valenzuela
247,2024,Q3,2.48,Lane Zuniga
248,2025,Q1,3.71,Isabelle Shields
249,2022,Q2,2.06,Mario Mays
250,2025,Q2,1.37,Leah Robinson
251,2022,Q1,2.64,Dayami Bailey
252,2023,Q1,3.97,Ramon Fleming
253,2022,Q3,2.46,Pedro Harrison
254,2024,Q2,2.29,Harrison Hudson
255,2022,Q4,2.63,Taniya Lane
256,2023,Q2,4.6,Rene Wallace
257,2024,Q3,1.77,Kai Gaines
258,2022,Q1,1.22,Noelle Levy
259,2025,Q1,2.85,Kylie Jimenez
260,2023,Q1,3.0,Carly Figueroa
261,2026,Q4,3.38,Bria Mcpherson
262,2022,Q1,4.75,Brynn Harding
263,2024,Q4,3.13,Rashad Wells
264,2024,Q4,1.66,Jaylene Deleon
265,2026,Q2,3.9,Chace Church
266,2026,Q4,2.03,Zayne Hunter
267,2022,Q1,4.26,Amya Vega
268,2024,Q4,3.23,Nickolas West
269,2022,Q3,3.41,Cason Neal
270,2023,Q1,2.24,Aldo Dyer
271,2024,Q4,3.47,Sonia Skinner
272,2022,Q1,4.97,Julien Banks
273,2026,Q3,1.81,Madelyn Mcdonald
274,2025,Q2,4.98,Brenden Nash
275,2023,Q3,3.02,Genesis Coleman
276,2023,Q4,2.18,Justice Branch
277,2026,Q2,1.25,Addisyn Guerrero
278,2022,Q3,3.63,Addisyn Aguilar
279,2023,Q4,3.92,Marcos Gallagher
280,2026,Q3,4.85,Mareli Parker
281,2025,Q4,3.35,Joshua Mitchell
282,2023,Q3,1.07,Case Gaines
283,2022,Q4,3.7,Jacey Reyes
284,2023,Q4,3.89,Dean Middleton
285,2022,Q4,1.75,Marlene Bates
286,2026,Q1,4.97,Kyra Ray
287,2025,Q1,2.26,Melanie Kennedy
288,2023,Q3,2.57,Aleena Mercer
289,2024,Q3,2.89,Jake White
290,2025,Q3,3.89,Chaim Chase
291,2025,Q4,4.82,Keshawn Le
292,2022,Q3,2.54,Dalton Frazier
293,2024,Q3,3.99,Cannon Hester
294,2024,Q3,1.31,Crystal Brandt
295,2024,Q1,1.82,Johnny Goodman
296,2026,Q1,1.06,Nehemiah Hancock
297,2022,Q2,3.29,Elliana Villanueva
298,2026,Q2,2.14,Essence Schwartz
299,2022,Q1,4.13,Ryker Cox
300,2023,Q3,4.19,Averi Stevenson
301,2025,Q3,3.99,Katherine Russo
302,2022,Q1,4.88,Aydan Robbins
303,2026,Q1,2.32,Heaven Walls
304,2024,Q2,1.39,Bobby Chung
305,2024,Q1,2.59,Maximus Fields
306,2025,Q1,3.88,Orion Ochoa
307,2024,Q4,3.81,Halle Boyd
308,2026,Q1,1.26,Lindsey Rocha
309,2025,Q4,1.84,Chace Gray
310,2022,Q3,4.04,Carsen Wheeler
311,2025,Q2,2.19,Arielle Escobar
312,2024,Q4,4.55,Kaitlynn Blair
313,2025,Q1,3.17,Amir Melendez
314,2022,Q1,3.8,Monique Buckley
315,2026,Q2,2.72,Clark Blanchard
316,2026,Q4,4.33,Gabriel Pearson
317,2023,Q2,3.97,Mercedes Cook
318,2026,Q2,2.29,Skyler Blankenship
319,2026,Q4,3.26,Jordan Davis
320,2026,Q3,1.54,Bridget Wu
321,2025,Q3,2.09,Gabriel Kirk
322,2022,Q2,4.64,Aron Ali
323,2024,Q4,3.48,Kayden Soto
324,2026,Q3,4.81,Micaela Conner
325,2024,Q1,1.41,Arthur Mitchell
326,2025,Q2,3.64,Deven Morse
327,2022,Q2,4.0,George Villegas
328,2023,Q2,3.26,Arielle Potts
329,2024,Q1,3.23,Maxwell Howell
330,2025,Q4,1.13,Junior Bridges
331,2025,Q4,3.16,Salvatore Noble
332,2026,Q4,3.58,Heath Hodges
333,2024,Q4,3.63,Gabriella Warner
334,2022,Q1,4.93,Ryan Tate
335,2026,Q1,4.83,Hazel Vincent
336,2023,Q1,3.14,Gavyn Riggs
337,2025,Q4,1.51,Giancarlo Cross
338,2024,Q4,3.21,Cristal Bradshaw
339,2026,Q1,3.52,Guadalupe Burke
340,2026,Q2,3.06,Elisa Henry
341,2025,Q1,3.43,Kale Fischer
342,2023,Q4,4.76,Morgan Blackwell
343,2026,Q3,1.55,Ivan Wright
344,2024,Q4,3.37,Nayeli Hood
345,2025,Q4,4.0,Marilyn Smith
346,2022,Q1,1.27,Zoie Rowland
347,2025,Q3,2.98,Ann Nguyen
348,2025,Q2,1.76,Ramiro Savage
349,2025,Q4,1.34,Karma Koch
350,2022,Q1,2.56,Jacqueline Hendrix
351,2023,Q4,3.5,Kaitlin Barker
352,2025,Q2,2.57,Semaj Griffith
353,2025,Q3,4.07,Damian Burke
354,2023,Q3,3.64,Jessie Smith
355,2023,Q4,2.87,Hezekiah Cummings
356,2022,Q4,3.61,Brody House
357,2026,Q3,3.25,Aaliyah Watts
358,2025,Q2,4.42,Ashton Larsen
359,2024,Q2,1.32,Joshua Gibson
360,2023,Q4,4.38,Kyleigh Bauer
361,2026,Q3,3.0,Ramon Schultz
362,2025,Q4,3.97,Maxim Houston
363,2026,Q3,2.28,Deanna Sellers
364,2022,Q4,2.75,Frankie Figueroa
365,2023,Q1,3.85,Bentley Rush
366,2022,Q3,3.96,Alexia Pham
367,2024,Q3,2.45,Roselyn Roberts
368,2023,Q3,1.05,Ayden Chambers
369,2022,Q2,3.01,Kaitlynn Serrano
370,2023,Q4,4.69,Jefferson White
371,2022,Q4,3.77,Maria Grant
372,2026,Q3,1.47,Bryanna Ibarra
373,2023,Q1,3.51,Sophie Zavala
374,2026,Q2,1.72,Amya Grant
375,2023,Q4,4.73,Jaydan Neal
376,2026,Q2,3.29,Amiyah Ramirez
377,2023,Q4,2.02,Kai Holt
378,2023,Q1,3.85,Brendon Wilson
379,2022,Q3,3.26,Nancy Short
380,2026,Q1,1.95,Isabella Wilkins
381,2024,Q2,1.4,Mayra Moss
382,2022,Q4,4.63,Maria Gonzalez
383,2022,Q1,1.36,Jumil Turpin
384,2023,Q2,1.16,Ann Daniele
385,2024,Q4,1.57,Joe South
386,2022,Q3,4.14,Sarah Warfield
387,2023,Q4,1.49,Alejandro Bacong
388,2026,Q1,3.66,Jyoti Lajiri
389,2023,Q3,4.59,Neville Tredinnick
390,2024,Q3,3.64,Anthony Cisco
391,2025,Q1,2.46,Linda Dolan
392,2024,Q1,4.65,Carlos Merlos
393,2026,Q4,2.94,Tanya Morway
394,2022,Q1,2.38,Anita Shepard
395,2026,Q4,2.01,Jeremiah Semizoglou
396,2026,Q4,4.49,Katrina Lambert
397,2023,Q2,2.68,Alexzander Pope
398,2024,Q2,1.34,Derek Holmes
399,2024,Q4,3.93,Danika Deleon
400,2026,Q1,2.71,Sabrina Durham
401,2023,Q1,4.4,Frankie Carrillo
402,2025,Q4,1.14,Quintin Solomon
403,2023,Q3,1.42,Jaqueline Pittman
404,2026,Q1,4.31,Mariana Glass
405,2025,Q3,4.84,Payton Cross
406,2024,Q4,1.1,Sloane Rasmussen
407,2022,Q2,3.39,Elise Vazquez
408,2025,Q2,1.34,Monique Pierce
409,2022,Q1,1.23,Axel Higgins
410,2025,Q2,1.78,Marcos Petty
411,2022,Q3,1.68,Mia Cowan
412,2024,Q4,2.47,Tanya Leonard
413,2023,Q1,4.7,Dereon Page
414,2026,Q3,4.48,Meadow Boyer
415,2026,Q3,1.89,Paris Simpson
416,2025,Q2,4.52,Kyla Durham
417,2023,Q1,1.42,Cassidy Maddox
418,2026,Q1,3.31,Edgar Underwood
419,2024,Q2,1.05,Jaiden Underwood
420,2025,Q4,2.5,Eugene Potts
421,2025,Q4,4.99,Gilbert Klein
422,2025,Q3,1.99,Nathaly Huffman
423,2024,Q3,2.4,Nancy Clay
424,2023,Q4,4.39,Kylie Cantrell
425,2022,Q3,4.11,Vance Marquez
426,2023,Q1,3.86,Dante Wyatt
427,2022,Q4,3.87,Rey Monroe
428,2024,Q2,4.67,Jayden Mckee
429,2022,Q4,2.75,Brady Yoder
430,2022,Q2,2.33,Darwin Allen
431,2024,Q3,2.08,Jasper Harrison
432,2024,Q3,2.3,Bailey Humphrey
433,2022,Q2,4.51,Clare English
434,2025,Q4,1.12,Amy Sherman
435,2022,Q2,3.77,Lizbeth Hunt
436,2023,Q4,1.44,Eden Armstrong
437,2022,Q2,2.67,Eugene Mueller
438,2023,Q3,4.99,Tiffany Washington
439,2022,Q3,2.72,Sloane Moss
440,2025,Q3,1.29,Kaeden Vargas
441,2026,Q1,2.01,Lena Sandoval
442,2025,Q4,1.47,Adrien Olsen
443,2024,Q1,3.33,Damari Brewer
444,2026,Q2,2.24,Annalise Gross
445,2026,Q1,4.08,Kamari Mcgrath
446,2022,Q3,3.29,Lorena Rice
447,2026,Q2,2.8,Eliezer Stokes
448,2025,Q3,2.8,Aspen Reyes
449,2026,Q1,3.47,Rudy Richardson
450,2023,Q4,4.68,Alana Castro
451,2025,Q3,3.61,Oscar Lopez
452,2025,Q2,1.25,Carter Cook
453,2024,Q4,2.36,Liam Hanna
454,2022,Q4,1.52,Zara Pitts
455,2025,Q4,2.36,Abby Woodward
456,2024,Q3,4.24,Litzy Esparza
457,2024,Q1,2.33,Noemi Brewer
458,2025,Q2,2.9,Gilberto Macdonald
459,2026,Q1,2.88,Armando Macias
460,2026,Q3,1.92,Britney Kelly
461,2022,Q2,2.06,Emanuel Haas
462,2022,Q3,3.62,Karlie Drake
463,2023,Q1,3.79,Myla Mullen
464,2023,Q3,4.45,Alan Holland
465,2022,Q4,2.61,Brooklynn Greene
466,2025,Q4,2.3,Maxwell Mcpherson
467,2025,Q2,1.1,Lukas Freeman
468,2022,Q4,1.36,Yesenia Nielsen
469,2026,Q2,1.18,Myah Marsh
470,2024,Q3,3.52,Korbin Gilbert
471,2026,Q2,2.72,Jenna Maddox
472,2024,Q3,3.87,Anaya Preston
473,2024,Q2,2.04,Eugene Pena
474,2025,Q3,3.32,Abel Baker
475,2022,Q4,2.76,Deven Merritt
476,2022,Q4,1.03,Hadassah Moran
477,2024,Q2,4.77,Hezekiah Thompson
478,2026,Q1,2.31,Quintin Fry
479,2025,Q2,1.75,Alayna Hess
480,2022,Q4,2.74,Amaris Miller
481,2026,Q2,4.95,Barrett Wilcox
482,2022,Q1,4.81,Kimberly Watson
483,2024,Q2,3.5,Rebecca Park
484,2025,Q4,3.07,Caleb Schneider
485,2022,Q3,3.46,Vanessa James
486,2025,Q1,2.48,Maribel Copeland
487,2026,Q3,1.78,Henry Zimmerman
488,2023,Q3,4.6,Nathanial Booth
489,2023,Q4,2.5,Rhys Barry
490,2026,Q2,4.5,Jonas Rowland
491,2022,Q3,3.92,Chris Vincent
492,2025,Q1,4.87,Myah Waller
493,2023,Q1,2.36,Yaritza Sherman
494,2025,Q1,4.95,Haley Weaver
495,2023,Q2,4.66,Alessandra Lee
496,2023,Q2,4.09,Kaitlin Hickman
497,2026,Q1,2.83,Giancarlo Juarez
498,2022,Q2,3.03,Walter Zuniga
499,2023,Q4,1.69,Anna Jordan
500,2023,Q4,1.83,Jeffery Gamble
501,2023,Q3,3.07,Misael Hunter
502,2026,Q1,4.96,Audrina Yu
503,2024,Q3,1.42,Jeramiah Foster
504,2026,Q4,3.22,Bruce Wallace
505,2025,Q3,3.21,Giovani Nelson
506,2025,Q3,3.83,Ari Anthony
507,2024,Q4,1.87,Laylah Branch
508,2026,Q3,1.08,Alanna Mullins
509,2025,Q3,4.08,Arjun Tyler
510,2026,Q3,1.77,Donald Favis
511,2024,Q3,1.04,Daniff Hernandez
512,2025,Q2,4.64,Lori Roby
513,2022,Q4,4.16,Thomas Murray
514,2023,Q2,3.44,Karthikeyan Ait Sidi
515,2025,Q2,3.04,Ivan Rogers
516,2024,Q2,1.12,Bianca Roehrich
517,2023,Q3,1.59,Jason Salter
518,2026,Q3,4.92,Julia Zhou
519,2023,Q2,4.94,Thelma Petrowsky
520,2026,Q1,1.81,Jayne Horton
521,2026,Q1,3.19,Renee Becker
522,2024,Q1,2.07,Randall Pearson
523,2023,Q2,1.48,Claudia N Carr
524,2025,Q3,2.61,Noelle Johnson
525,2022,Q2,3.09,Taisha Goble
526,2025,Q2,3.68,Kramer Simard
527,2022,Q4,2.74,Mark Griffith
528,2022,Q4,3.4,Denisse Hayes
529,2025,Q2,3.93,Draven Giles
530,2026,Q3,2.4,Aliana Shaw
531,2025,Q1,2.85,Makaila Nixon
532,2026,Q3,3.35,Mohammed Orr
533,2025,Q2,4.01,Braylen Mendoza
534,2026,Q4,4.92,Andreas Torres
535,2022,Q2,4.55,Maddison Perez
536,2024,Q4,1.84,Charlize Wagner
537,2022,Q1,2.61,Micah Pace
538,2024,Q1,1.62,Marlee Stevens
539,2022,Q1,2.73,Precious Roth
540,2022,Q4,4.71,Konner Villegas
541,2026,Q3,3.06,Anastasia Gillespie
542,2022,Q3,3.58,Emely Rice
543,2022,Q4,2.22,Lewis Nixon
544,2025,Q3,1.25,Macy Webster
545,2026,Q1,4.14,Ciara Acevedo
546,2026,Q2,4.49,Eleanor Patton
547,2023,Q1,2.31,Brooklyn Tanner
548,2023,Q4,3.13,Zander Franco
549,2022,Q3,2.87,Kianna Rhodes
550,2026,Q3,2.04,Kinsley Braun
551,2022,Q2,2.2,Gordon Wu
552,2023,Q4,2.76,Maryjane Cross
553,2023,Q1,3.64,Peyton Phelps
554,2024,Q2,3.64,Carmen Atkins
555,2024,Q3,4.52,Kiara Fox
556,2022,Q2,4.41,Yair Jennings
557,2022,Q1,2.83,Kaylie Velazquez
558,2025,Q3,3.14,Christine Skinner
559,2022,Q1,4.73,Zayne Mccullough
560,2023,Q2,2.84,Dennis Key
561,2022,Q4,2.39,Aydan Benjamin
562,2022,Q4,3.83,Kenzie Mullins
563,2022,Q3,1.52,Asa Pham
564,2023,Q1,3.86,Damarion Schneider
565,2026,Q2,2.21,Talan Rodgers
566,2024,Q1,3.95,Evelin Snow
567,2023,Q1,2.77,Sienna Preston
568,2026,Q1,3.64,Taylor Dennis
569,2023,Q2,3.1,Cortez Murillo
570,2023,Q1,3.75,Leonel Combs
571,2023,Q2,1.18,Carmen Frost
572,2024,Q3,2.76,Ace Krause
573,2026,Q1,3.32,Reuben Davila
574,2023,Q3,3.31,Angelique Mann
575,2023,Q4,4.61,Susan Exantus
576,2022,Q4,2.09,Sandra Martin
577,2024,Q1,4.93,Keyla Del Bosque
578,2024,Q1,3.51,Andrew Szabo
579,2024,Q2,4.05,Luke Patronick
580,2023,Q2,3.15,Colby Andreola
581,2026,Q2,1.28,Edward TRUE
582,2022,Q2,3.76,Judith Carabbio
583,2025,Q3,2.13,Adell Saada
584,2023,Q3,4.53,Kamari Hunter
585,2023,Q3,1.82,Sarah Malone
586,2022,Q4,3.58,Skyler Blackwell
587,2024,Q4,4.04,Jasmin Shah
588,2026,Q1,1.62,Kole Quinn
589,2025,Q2,4.15,Ansley Jackson
590,2022,Q3,2.05,Jayda Reese
591,2022,Q2,3.68,Julien Whitehead
592,2024,Q4,2.3,Alan Haynes
593,2024,Q3,3.69,Kamryn Herrera
594,2022,Q4,4.27,Kelvin Foster
595,2022,Q4,4.09,Joe Fletcher
596,2024,Q2,1.29,Frederick Howe
597,2022,Q2,1.91,Nickolas Davila
598,2023,Q2,1.09,Kasey Boyer
599,2025,Q3,1.56,Giovanni Jenkins
600,2025,Q2,1.23,Alexis Moss
601,2022,Q1,1.31,Joanna Murphy
602,2022,Q2,2.31,Joseph Schmidt
603,2026,Q3,1.81,Brittany Hurley
604,2025,Q4,2.95,Niko Hamilton
605,2022,Q1,3.59,Ruben Martinez
606,2026,Q4,3.61,Kiley Haynes
607,2026,Q4,2.21,Blaine Brooks
608,2025,Q3,4.85,Dennis Livingston
609,2026,Q4,2.5,Case Russell
610,2023,Q2,4.29,Kody Jimenez
611,2022,Q1,2.8,Zoe Colon
612,2025,Q3,2.96,Courtney Cowan
613,2024,Q1,4.85,Nolan Perez
614,2026,Q1,1.72,Katrina Farrell
615,2022,Q3,3.03,Camden Kelly
616,2023,Q3,1.1,Milo Hood
617,2024,Q1,4.81,Kale Lang
618,2023,Q3,1.63,Shyanne Stark
619,2026,Q4,3.97,Elliott Ashley
620,2025,Q2,3.59,Genesis Todd
621,2022,Q1,4.64,Sincere Jimenez
622,2025,Q2,2.92,Stephen Daugherty
623,2023,Q3,1.01,Demarion Morrow
624,2024,Q3,1.36,Steven Schneider
625,2022,Q2,2.07,Devon Hinton
626,2024,Q4,2.57,Jacquelyn Johns
627,2026,Q3,3.68,Blaine Keith
628,2022,Q2,4.52,Phillip Salazar
629,2022,Q2,3.32,Chaz Webb
630,2026,Q2,3.11,Desmond Anderson
631,2026,Q2,3.91,Sophie Decker
632,2024,Q3,2.34,Lena Bryan
633,2024,Q2,2.23,Kelsie Mccormick
634,2022,Q1,3.54,Frida Livingston
635,2026,Q2,1.42,Isai Alvarado
636,2026,Q1,4.87,Travis Vasquez
637,2026,Q1,1.98,Jazlene Maynard
638,2025,Q1,4.25,Wyatt Donovan
639,2022,Q1,2.08,Nathaly Cooper
640,2023,Q1,2.42,Gage Weeks
641,2026,Q3,2.91,Gavin Frye
